Domain,bzip2_comp,Cmix_comp,GeCo3_comp,gzip_comp,JARVIS_comp,MFCompress_comp,NUHT_comp,UHT_comp,zip_comp,xz_comp,zstd_comp,bzip2_time,Cmix_time,GeCo3_time,gzip_time,JARVIS_time,MFCompress_time,NUHT_time,UHT_time,zip_time,xz_time,zstd_time
archaea,0.27361937518809154,,0.22618623080020414,0.2963671116466682,0.22517086068649297,0.22805010351233754,0.247559807272514,0.2542494227124671,0.28343148760285297,0.25894544549104903,0.2931670950875109,0.9096746444702148,,16.330315828323364,1.063511848449707,7.164618253707886,11.423654317855835,7.568057298660278,43.854735136032104,8.073636770248413,5.626508712768555,0.6535794734954834
archaea,0.27797752459668573,,0.231058136320533,0.29907980846567,0.23084468715700876,0.23194932194836346,0.2520857310148245,0.25241735231481455,0.2862260287025144,0.2646637354260787,0.2961873337935346,0.3551042079925537,,6.200132846832275,0.3855247497558594,2.5411930084228516,4.977264404296875,2.690338611602783,18.367912769317627,2.7258174419403076,1.6973116397857666,0.2851743698120117
archaea,0.27302563472033003,,0.2246713312973404,0.2951162185631339,0.22495408337604647,0.2265444576086504,0.2468707769018556,0.2511276049414159,0.28237800975504795,0.25816384221105637,0.29182018480359817,0.8053884506225586,,15.411394596099854,0.8596553802490234,6.224473237991333,11.460296869277954,5.982518911361694,40.3177535533905,7.19290828704834,5.573715448379517,0.6215939521789551
archaea,0.2814048376156513,,0.23398490756098198,0.30286413464637774,0.23309450824278408,0.2327227818083056,0.25688495081588203,0.2593770317539247,0.2907832455340405,0.26661504520853174,0.2995861108919442,0.512664794921875,,11.130505561828613,0.5401501655578613,3.568855047225952,10.550279140472412,5.252412557601929,29.401318073272705,4.800316095352173,3.9387710094451904,0.4218294620513916
archaea,0.27565117823854995,,0.22866827813340537,0.29784670512250977,0.22759328200760043,0.22940307230958232,0.24760413771211526,0.25284807814558746,0.285232318024056,0.2612069334726231,0.29511220579726455,0.7158124446868896,,15.821475744247437,0.7356455326080322,8.284321546554565,9.731132745742798,7.242313385009766,42.77829718589783,7.429572105407715,5.3461339473724365,0.6622152328491211
archaea,0.2808908494176263,,0.23480338725388578,0.30136553560366075,0.23475969800924162,0.23637567422028796,0.2563199957821294,0.2605374270110675,0.2906095262364732,0.26694727222400405,0.29811865397204784,0.4848015308380127,,7.89719295501709,0.48967933654785156,2.5618832111358643,9.85548710823059,3.402479410171509,24.06511664390564,3.295501947402954,2.407254457473755,0.4270174503326416
archaea,0.2753247762702186,,0.22536597050405086,0.29476725675225224,0.22466808971684535,0.22653964886649622,0.2552001821627038,0.25526495555299783,0.28219623646672115,0.2577821491511946,0.29105972754319015,0.4356818199157715,,6.440271615982056,0.41349291801452637,2.1828649044036865,4.8063647747039795,2.9096977710723877,17.196231603622437,3.490891218185425,2.240657091140747,0.37860536575317383
archaea,0.26800384075580547,,0.21838598744719395,0.2897083414888321,0.21943976518747718,0.2215897353913804,0.24775764747450643,0.24827721605383493,0.2765204158574475,0.25277249718542194,0.2864631232923726,0.5064494609832764,,11.564466714859009,0.6780219078063965,5.001601934432983,8.22789454460144,4.47970986366272,28.88866949081421,6.021288871765137,3.6312644481658936,0.4071354866027832
archaea,0.2834480935607025,,0.23844630691909724,0.30253662769230344,0.2377502822434574,0.23950676868090465,0.2577049367102238,0.2686181289318389,0.29305557919497754,0.27106038033263385,0.3013062970904522,0.6700763702392578,,9.448642015457153,0.6003165245056152,3.126086473464966,8.761757612228394,3.8176939487457275,25.778050184249878,3.5450186729431152,3.0232415199279785,0.3998422622680664
archaea,0.2833325226124314,,0.24199951613086548,0.30366112650292953,0.24205742887962645,0.24363316983876146,0.25749547109922527,0.2652954970779302,0.29500102364650144,0.27440996000027795,0.3027951696714121,0.28777456283569336,,7.414348125457764,0.4280893802642822,2.048931360244751,6.764080047607422,2.814948797225952,17.70494532585144,2.963843584060669,1.7053589820861816,0.29178285598754883
